"filename", "language", "Python", "Properties", "Batch", "PowerShell", "HTML", "JavaScript", "XML", "CSS", "Markdown", "C", "comment", "blank", "total"
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\__init__.py", "Python", 320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 61, 404
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\global_settings.py", "Python", 303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 257, 122, 682
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\__init__.py", "Python", 621, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 624
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\ar\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\ar\formats.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 22
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\ar_DZ\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\ar_DZ\formats.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 30
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\az\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\az\formats.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 31
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\bg\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\bg\formats.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 2, 22
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\bn\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
